ID,North Window,South Window,North Blind,Heating SP,Cooling SP
1,0,0,0,17,18
2,0,0,0,17,19
3,0,0,0,17,20
4,0,0,0,17,21
5,0,0,0,17,22
6,0,0,0,17,23
7,0,0,0,17,24
8,0,0,0,17,25
9,0,0,0,17,26
10,0,0,0,17,27
11,0,0,0,17,28
12,0,0,0,18,19
13,0,0,0,18,20
14,0,0,0,18,21
15,0,0,0,18,22
16,0,0,0,18,23
17,0,0,0,18,24
18,0,0,0,18,25
19,0,0,0,18,26
20,0,0,0,18,27
21,0,0,0,18,28
22,0,0,0,19,20
23,0,0,0,19,21
24,0,0,0,19,22
25,0,0,0,19,23
26,0,0,0,19,24
27,0,0,0,19,25
28,0,0,0,19,26
29,0,0,0,19,27
30,0,0,0,19,28
31,0,0,0,20,21
32,0,0,0,20,22
33,0,0,0,20,23
34,0,0,0,20,24
35,0,0,0,20,25
36,0,0,0,20,26
37,0,0,0,20,27
38,0,0,0,20,28
39,0,0,0,21,22
40,0,0,0,21,23
41,0,0,0,21,24
42,0,0,0,21,25
43,0,0,0,21,26
44,0,0,0,21,27
45,0,0,0,21,28
46,0,0,0,22,23
47,0,0,0,22,24
48,0,0,0,22,25
49,0,0,0,22,26
50,0,0,0,22,27
51,0,0,0,22,28
52,0,0,0,23,24
53,0,0,0,23,25
54,0,0,0,23,26
55,0,0,0,23,27
56,0,0,0,23,28
57,0,0,0,24,25
58,0,0,0,24,26
59,0,0,0,24,27
60,0,0,0,24,28
61,0,0,0,25,26
62,0,0,0,25,27
63,0,0,0,25,28
64,0,0,0,26,27
65,0,0,0,26,28
66,0,0,0,27,28
67,0,0,1,17,18
68,0,0,1,17,19
69,0,0,1,17,20
70,0,0,1,17,21
71,0,0,1,17,22
72,0,0,1,17,23
73,0,0,1,17,24
74,0,0,1,17,25
75,0,0,1,17,26
76,0,0,1,17,27
77,0,0,1,17,28
78,0,0,1,18,19
79,0,0,1,18,20
80,0,0,1,18,21
81,0,0,1,18,22
82,0,0,1,18,23
83,0,0,1,18,24
84,0,0,1,18,25
85,0,0,1,18,26
86,0,0,1,18,27
87,0,0,1,18,28
88,0,0,1,19,20
89,0,0,1,19,21
90,0,0,1,19,22
91,0,0,1,19,23
92,0,0,1,19,24
93,0,0,1,19,25
94,0,0,1,19,26
95,0,0,1,19,27
96,0,0,1,19,28
97,0,0,1,20,21
98,0,0,1,20,22
99,0,0,1,20,23
100,0,0,1,20,24
101,0,0,1,20,25
102,0,0,1,20,26
103,0,0,1,20,27
104,0,0,1,20,28
105,0,0,1,21,22
106,0,0,1,21,23
107,0,0,1,21,24
108,0,0,1,21,25
109,0,0,1,21,26
110,0,0,1,21,27
111,0,0,1,21,28
112,0,0,1,22,23
113,0,0,1,22,24
114,0,0,1,22,25
115,0,0,1,22,26
116,0,0,1,22,27
117,0,0,1,22,28
118,0,0,1,23,24
119,0,0,1,23,25
120,0,0,1,23,26
121,0,0,1,23,27
122,0,0,1,23,28
123,0,0,1,24,25
124,0,0,1,24,26
125,0,0,1,24,27
126,0,0,1,24,28
127,0,0,1,25,26
128,0,0,1,25,27
129,0,0,1,25,28
130,0,0,1,26,27
131,0,0,1,26,28
132,0,0,1,27,28
133,0,1,0,17,18
134,0,1,0,17,19
135,0,1,0,17,20
136,0,1,0,17,21
137,0,1,0,17,22
138,0,1,0,17,23
139,0,1,0,17,24
140,0,1,0,17,25
141,0,1,0,17,26
142,0,1,0,17,27
143,0,1,0,17,28
144,0,1,0,18,19
145,0,1,0,18,20
146,0,1,0,18,21
147,0,1,0,18,22
148,0,1,0,18,23
149,0,1,0,18,24
150,0,1,0,18,25
151,0,1,0,18,26
152,0,1,0,18,27
153,0,1,0,18,28
154,0,1,0,19,20
155,0,1,0,19,21
156,0,1,0,19,22
157,0,1,0,19,23
158,0,1,0,19,24
159,0,1,0,19,25
160,0,1,0,19,26
161,0,1,0,19,27
162,0,1,0,19,28
163,0,1,0,20,21
164,0,1,0,20,22
